GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Payment Engine Service,com.payment.engine.entity,TradeOrderLite,175,21,38,0,2,3,26,6,7,6
Payment Engine Service,com.payment.engine.entity,PaymentMain,315,43,70,0,5,5,44,12,9,12
Payment Engine Service,com.payment.engine.entity,PaymentDetail,437,41,94,0,10,3,63,11,16,11
Payment Engine Service,com.payment.engine,PaymentEngineApplication,8,0,0,0,3,0,2,0,2,0
Payment Engine Service,com.payment.engine.task,PaymentSimulateTask,64,0,0,0,13,0,2,0,2,0
Payment Engine Service,com.payment.engine.domain,PaymentStatus,3,49,0,0,1,10,1,3,1,3
Payment Engine Service,com.payment.engine.service.impl,PaymentServiceImpl,7,175,5,9,0,37,5,5,0,3
Payment Engine Service,com.payment.engine.controller,EngineController,64,0,4,0,13,0,5,0,3,0
Payment Engine Service,com.payment.engine.controller,HealthController,21,0,0,0,6,0,3,0,3,0
